;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=;'abcdefghijklmnopqrstuvwxyz
lib=cyim-cy
page-length=8

[Punctuation]
{ 『
bdjt 不到几天 本地接听
bdjv 败绩
bdjw 败家
bdjx 倍道兼行
bdjy 百度经验
bdk' 不大可能吧
bdk; 白豆蔻 傍大款 病毒库
bdkc 崩溃
bdkd 不断扩大
bdke 罢课
bdkf 贝卡
bdkh 贝克 罢考 遍地开花 八点开会 别的客户
bdkj 八度空间
bdkl 鞭打快驴
bdkn 不大可能 鞭打快牛
bdkr 变得宽容 别的客人
bdks 八点开始 别的款式
bdkt 不断开拓 北达科他
bdku 贝壳
bdkw 败寇
bdky 不但可以
bdkz 百度快照 不断扩展
bdl' 背地里高兴 不到六个月 布袋里老鸦 本地流量包
bdl; 不得了 背地里 八达岭 并蒂莲 表达了 报道了
bdla 罢啦
bdlc 崩漏
bdld 贝岭
bdle 罢论
bdlf 败柳
bdlg 败落 崩落 波多黎各 布达拉宫
bdlh 贝勒
bdlj 败露
bdlk 不得离开
bdll 不得了了
bdlm 崩裂
bdlo 贝利
bdlr 被代理人
bdls 弊多利少
bdlt 败类 贝类 蚌类 不到两天
bdlv 罢练
bdlx 罢了 崩了 败了
bdly 鲍德里亚
bdm' 抱得美人归 不达目的誓不罢休
bdm; 帮倒忙 巴旦木
bdmd 不达目的
bdmf 本地免费
bdmi 罢免
bdmj 别的卖家
bdmv 贝母
bdmw 不动明王
bdmx 不得民心
bdnd 睥睨
bdnf 波多诺伏
bdnl 表达能力
bdnm 百度糯米
bdnq 北调南腔
bdnr 别的女人 别的男人
bdnw 贝宁
bdnz 不动脑子
bdo 败
bdoa 髀 睥
bdoe 贬
bdou 崩
bdp; 被打破
bdpj 不断普及
bdpp 崩盘
bdps 布达佩斯
bdpz 别的牌子
bdq' 本地清算号 不到七个月 不得其门而入
bdq; 不定期 本地区 北道区 宝坻区
bdqc 不大清楚 表达清楚 八点起床
